Chromosome,Bin,geneDensity
BhD1,11950001-11975000,0.46876
BhD1,11975001-12000000,0.59292
BhD1,12000001-12025000,0.4812
BhD1,12025001-12050000,0.78648
BhD1,12050001-12075000,0.80184
BhD1,12075001-12100000,0.62676
BhD1,12100001-12125000,0.56148
BhD1,12125001-12150000,0.3344
BhD1,12150001-12175000,0.4558
BhD1,12175001-12200000,0.478
BhD1,12200001-12225000,0.35596
BhD1,12225001-12250000,0.45492
BhD1,12250001-12275000,0.34352
BhD1,12275001-12300000,0.60184
BhD1,12300001-12325000,0.47792
BhD1,12325001-12350000,0.5614
BhD1,12350001-12375000,0.1264
BhD1,12375001-12400000,0.34636
BhD1,12400001-12425000,0
BhD1,12425001-12450000,0.52336
BhD1,12450001-12475000,0.16412
BhD1,12475001-12500000,0.83332
BhD1,12500001-12525000,0.23
BhD1,12525001-12550000,0.64344
BhD1,12550001-12575000,0.23092
BhD1,12575001-12600000,0.86884
BhD1,12600001-12625000,0.13
BhD1,12625001-12650000,0.6438
BhD1,12650001-12675000,0.41236
BhD1,12675001-12700000,0.48464
BhD1,12700001-12725000,0.2884
BhD1,12725001-12750000,0.57288
BhD1,12750001-12775000,0.5662
BhD1,12775001-12800000,0.44844
BhD1,12800001-12825000,0.309
BhD1,12825001-12850000,0.67748
BhD1,12850001-12875000,0.1438
BhD1,12875001-12900000,0.56264
BhD1,12900001-12925000,0.36208
BhD1,12925001-12950000,0.0426
BhD1,12950001-12975000,0
BhD1,12975001-13000000,0
BhD1,13000001-13025000,0
BhD1,13025001-13050000,0
BhD1,13050001-13075000,0.37688
BhD1,13075001-13100000,0.62372
BhD1,13100001-13125000,0.47924
BhD1,13125001-13150000,0.89684
BhD1,13150001-13175000,0.65332
BhD1,13175001-13200000,0.69492
BhD1,13200001-13225000,0.47604
BhD1,13225001-13250000,0.69064
BhD1,13250001-13275000,0.50956
BhD1,13275001-13300000,0.2396
BhD1,13300001-13325000,0.03612
BhD1,13325001-13350000,0.30428
BhD1,13350001-13375000,0.8066
BhD1,13375001-13400000,0.26008
BhD1,13400001-13425000,0.47772
BhD1,13425001-13450000,0.70124
BhD1,13450001-13475000,0.7958
BhD1,13475001-13500000,0.53712
BhD1,13500001-13525000,0.22384
BhD1,13525001-13550000,0.42456
BhD1,13550001-13575000,0.58896
BhD1,13575001-13600000,0.29692
BhD1,13600001-13625000,0.13052
BhD1,13625001-13650000,0.25488
BhD1,13650001-13675000,0.38276
BhD1,13675001-13700000,0.42092
BhD1,13700001-13725000,0.35164
BhD1,13725001-13750000,0.84504
BhD1,13750001-13775000,0.30156
BhD1,13775001-13800000,0.43876
BhD1,13800001-13825000,0.76752
BhD1,13825001-13850000,0.28432
BhD1,13850001-13875000,0
BhD1,13875001-13900000,0.2596
BhD1,13900001-13925000,0.51268
BhD1,13925001-13950000,0.35668
BhD1,13950001-13975000,0.478
BhD1,13975001-14000000,0.18464
BhD1,14000001-14025000,0.11368
BhD1,14025001-14050000,0.29444
BhD1,14050001-14075000,0.23764
BhD1,14075001-14100000,0.53632
BhD1,14100001-14125000,0.79536
BhD1,14125001-14150000,0.6684
BhD1,14150001-14175000,0.69968
BhD1,14175001-14200000,0.4074
BhD1,14200001-14225000,0.926
BhD1,14225001-14250000,0.64812
BhD1,14250001-14275000,0.7018
BhD1,14275001-14300000,0.46544
BhD1,14300001-14325000,0.16716
BhD1,14325001-14350000,0.71036
BhD1,14350001-14375000,0.51868
BhD1,14375001-14400000,0.53004
BhD1,14400001-14425000,0.4688
BhD1,14425001-14450000,0.63356
BhD1,14450001-14475000,0.67028
BhD1,14475001-14500000,0.83952
BhD1,14500001-14525000,0.714
BhD1,14525001-14550000,0.4938
BhD1,14550001-14575000,0.588
BhD1,14575001-14600000,0.45796
BhD1,14600001-14625000,0.66544
BhD1,14625001-14650000,0.50756
BhD1,14650001-14675000,0.71048
BhD1,14675001-14700000,0.64524
BhD1,14700001-14725000,0.20776
BhD1,14725001-14750000,0.32004
BhD1,14750001-14775000,0.34464
BhD1,14775001-14800000,0.67768
BhD1,14800001-14825000,0.53024
BhD1,14825001-14850000,0.34956
BhD1,14850001-14875000,0.66072
BhD1,14875001-14900000,0.29736
BhD1,14900001-14925000,0.1144
BhD1,14925001-14950000,0.60852
BhD1,14950001-14975000,0.39028
BhD1,14975001-15000000,0.8348
BhD1,15000001-15025000,0.30564
BhD1,15025001-15050000,0.23072
BhD1,15050001-15075000,0.61424
BhD1,15075001-15100000,0.93228
BhD1,15100001-15125000,0.5408
BhD1,15125001-15150000,0.76268
BhD1,15150001-15175000,0.33348
BhD1,15175001-15200000,0.37216
BhD1,15200001-15225000,0.48288
BhD1,15225001-15250000,0.55272
BhD1,15250001-15275000,0.6196
BhD1,15275001-15300000,0.58036
BhD1,15300001-15325000,0.1408
BhD1,15325001-15350000,0
BhD1,15350001-15375000,0.6818
BhD1,15375001-15400000,0.61212
BhD1,15400001-15425000,0.7864
BhD1,15425001-15450000,0.71888
BhD1,15450001-15475000,0.30672
BhD1,15475001-15500000,0.2028
BhD1,15500001-15525000,0
BhD1,15525001-15550000,0
BhD1,15550001-15575000,0
BhD1,15575001-15600000,0.09756
BhD1,15600001-15625000,0.6936
BhD1,15625001-15650000,0.38908
BhD1,15650001-15675000,0.45296
BhD1,15675001-15700000,0.11856
BhD1,15700001-15725000,0.61724
BhD1,15725001-15750000,0.3524
BhD1,15750001-15775000,0.77068
BhD1,15775001-15800000,0.40956
BhD1,15800001-15825000,0.3624
BhD1,15825001-15850000,0.94528
BhD1,15850001-15875000,0.49628
BhD1,15875001-15900000,0.79512
BhD1,15900001-15925000,0.76664
BhD1,15925001-15950000,0.52904
BhD1,15950001-15975000,0.51716
BhD1,15975001-16000000,0.33112
BhD1,16000001-16025000,0.37572
BhD1,16025001-16050000,0.01188
BhD1,16050001-16075000,0.2896
BhD1,16075001-16100000,0.61004
BhD1,16100001-16125000,0.84108
BhD1,16125001-16150000,0.32248
BhD1,16150001-16175000,0.58468
BhD1,16175001-16200000,0.3396
BhD1,16200001-16225000,0.28544
BhD1,16225001-16250000,0.6116
BhD1,16250001-16275000,0.71068
BhD1,16275001-16300000,0.68612
BhD1,16300001-16325000,0.001
BhD1,16325001-16350000,0
BhD1,16350001-16375000,0.02532
BhD1,16375001-16400000,0.7692
BhD1,16400001-16425000,0.41736
BhD1,16425001-16450000,0.40996
BhD1,16450001-16475000,0.58112
BhD1,16475001-16500000,0.13368
BhD1,16500001-16525000,0.53816
